875;bhr;I       L       Bara Malagasy
876;bhs;I       L       Buwal
877;bht;I       L       Bhattiyali
878;bhu;I       L       Bhunjia
879;bhv;I       L       Bahau
880;bhw;I       L       Biak
881;bhx;I       L       Bhalay
882;bhy;I       L       Bhele
883;bhz;I       L       Bada (Indonesia)
884;bia;I       L       Badimaya
885;bib;I       L       Bissa
887;bid;I       L       Bidiyo
888;bie;I       L       Bepour
889;bif;I       L       Biafada
890;big;I       L       Biangai
894;bik;bik     bik             M       L       Bikol
895;bil;I       L       Bile
896;bim;I       L       Bimoba
897;bin;bin     bin             I       L       Bini
898;bio;I       L       Nai
899;bip;I       L       Bila
900;biq;I       L       Bipi
901;bir;I       L       Bisorio
902;bis;bis     bis     bi      I       L       Bislama
903;bit;I       L       Berinomo
904;biu;I       L       Biete
905;biv;I       L       Southern Birifor
906;biw;I       L       Kol (Cameroon)
907;bix;I       L       Bijori
908;biy;I       L       Birhor
909;biz;I       L       Baloi
910;bja;I       L       Budza
911;bjb;I       E       Banggarla
912;bjc;I       L       Bariji
914;bje;I       L       Biao-Jiao Mien
915;bjf;I       L       Barzani Jewish Neo-Aramaic
916;bjg;I       L       Bidyogo
917;bjh;I       L       Bahinemo
918;bji;I       L       Burji
919;bjj;I       L       Kanauji
920;bjk;I       L       Barok
921;bjl;I       L       Bulu (Papua New Guinea)
922;bjm;I       L       Bajelani
923;bjn;I       L       Banjar
924;bjo;I       L       Mid-Southern Banda
925;bjp;I       L       Fanamaket
927;bjr;I       L       Binumarien
928;bjs;I       L       Bajan
929;bjt;I       L       Balanta-Ganja
930;bju;I       L       Busuu
931;bjv;I       L       Bedjond
932;bjw;I       L       Bakwé
933;bjx;I       L       Banao Itneg
934;bjy;I       E       Bayali
935;bjz;I       L       Baruga
936;bka;I       L       Kyak
938;bkc;I       L       Baka (Cameroon)
939;bkd;I       L       Binukid
941;bkf;I       L       Beeke
942;bkg;I       L       Buraka
943;bkh;I       L       Bakoko
944;bki;I       L       Baki
945;bkj;I       L       Pande
946;bkk;I       L       Brokskat
947;bkl;I       L       Berik
948;bkm;I       L       Kom (Cameroon)
949;bkn;I       L       Bukitan
950;bko;I       L       Kwa'
951;bkp;I       L       Boko (Democratic Republic of Congo)
952;bkq;I       L       Bakairí
953;bkr;I       L       Bakumpai
954;bks;I       L       Northern Sorsoganon
